item,price,region,like,chat,image
4단 플라스틱 서랍장,"20,000원",제주 제주시 오라동,2,5,images/jj/jjimg64.jpg
삼성led tv 32 많이 안봄,"70,000원",제주 서귀포시 대정읍,3,8,images/jj/jjimg65.jpg
쇼파,"50,000원",제주 서귀포시 법환동,3,3,images/jj/jjimg66.jpg
선풍기 3대 팔아요,"18,000원",제주 제주시 애월읍,1,5,images/jj/jjimg67.jpg
제습기 (LG 휘센) 20L,"400,000원",제주 서귀포시 대정읍,27,8,images/jj/jjimg68.jpg
냉장고 판매합니다,"200,000원",제주 서귀포시 토평동,4,6,images/jj/jjimg69.jpg
144hz 모니터 팝니다(32인치),"95,000원",제주 제주시 이도1동,15,11,images/jj/jjimg70.jpg
육지 이사로 살림살이 급처분합니다,10원,제주 제주시 화북이동,36,38,images/jj/jjimg71.jpg
신일선풍기,"5,000원",제주 제주시 노형동,1,4,images/jj/jjimg72.jpg
소년과나무 원목 미니스툴 판매합니다,"15,000원",제주 제주시 아라동,9,5,images/jj/jjimg73.jpg
"투명사이드테이블, 투명협탁","20,000원",제주 제주시 노형동,11,2,images/jj/jjimg74.jpg
제습기 신일뽀송뽀송 12L 작동잘됨,"100,000원",제주 제주시 연동,1,6,images/jj/jjimg75.jpg
집물건 정리중,,제주 제주시 화북일동,6,10,images/jj/jjimg76.jpg
"고성능 노트북 (윈11/SSD,5G)","300,000원",제주 제주시 이도2동,9,5,images/jj/jjimg77.jpg
LG전자 직수식 정수기,"10,000원",제주 제주시 한경면,7,3,images/jj/jjimg78.jpg
검정색 빠레트,"2,000원",제주 제주시 애월읍,12,22,images/jj/jjimg79.jpg
도어락,"15,000원",제주 서귀포시 대정읍,16,8,images/jj/jjimg80.jpg
LG 휘센 벽걸이에어컨 팔아요,"200,000원",제주 제주시 노형동,2,5,images/jj/jjimg81.jpg
선풍기,"10,000원",제주 제주시 봉개동,2,3,images/jj/jjimg82.jpg
베이비뵨바운서,"100,000원",제주 제주시 이도2동,3,5,images/jj/jjimg83.jpg
가스부스터 테이블 판매합니다,"50,000원",제주 제주시 연동,10,8,images/jj/jjimg84.jpg
