item,price,region,like,chat,image
유로휠 전동킥보드600R 10인치타이어,"200,000원",광주 광산구 수완동,10,6,images/gj/gjimg65.jpg
중흥골드스파,"42,000원",광주 남구 봉선동,75,70,images/gj/gjimg66.jpg
가스레인지 팔아요,"10,000원",광주 남구 주월2동,4,11,images/gj/gjimg67.jpg
아이폰 12 미니 128기가,"300,000원",광주 서구 화정동,10,15,images/gj/gjimg68.jpg
펜트리 시스템장 일체 양도(팝니다),"600,000원",광주 광산구 장덕동,10,6,images/gj/gjimg69.jpg
AMD A320m 메인보드 판매합니다,"30,000원",광주 서구 상무1동,9,2,images/gj/gjimg70.jpg
에어팟 프로 팔아요,"100,000원",광주 서구 화정3동,21,20,images/gj/gjimg71.jpg
타이니러브 유모차모빌,"5,000원",광주 광산구 월곡동,2,6,images/gj/gjimg72.jpg
보아르미니제습기,"20,000원",광주 광산구 우산동,3,5,images/gj/gjimg73.jpg
말본 지포어 타이틀리스트 pxg의류판매합니다,"22,222원",광주 남구 송하동,9,20,images/gj/gjimg74.jpg
원터치 접이식 철재 선반,"30,000원",광주 북구 각화동,9,5,images/gj/gjimg75.jpg
프롬유샤워핸들시즌2,"30,000원",광주 광산구 우산동,1,5,images/gj/gjimg76.jpg
아이폰 11 128기가,"200,000원",광주 광산구 흑석동,6,6,images/gj/gjimg77.jpg
로렉스시계 오이스터 퍼페추얼 데이저스트,500만원,광주 서구 금호2동,11,17,images/gj/gjimg78.jpg
주유권,"44,000원",광주 서구 치평동,4,1,images/gj/gjimg79.jpg
시계 오토매틱,"160,000원",광주 서구 치평동,9,7,images/gj/gjimg80.jpg
나주중흥골드스파 무료이용권 양도,"42,000원",광주 광산구 장덕동,4,4,images/gj/gjimg81.jpg
영광보리쌀,"10,000원",광주 광산구 신창동,0,2,images/gj/gjimg82.jpg
모듈 테이블 팔아요 💚,"50,000원",광주 서구 쌍촌동,11,2,images/gj/gjimg83.jpg
손흥민 에어컨-18평형 인버터 1등급<내용필독>,"200,000원",광주 북구 문흥동,9,12,images/gj/gjimg84.jpg
자일렉 청소기,"10,000원",광주 북구 신안동,6,4,images/gj/gjimg85.jpg
스피드랙,"30,000원",광주 북구 신용동,7,7,images/gj/gjimg86.jpg
경량 캠핑의자 & 경량 미니 테이블 세트,"30,000원",광주 북구 용봉동,8,4,images/gj/gjimg87.jpg
충전식 광택기,"50,000원",광주 광산구 장덕동,2,2,images/gj/gjimg88.jpg
"에어컨 (삼성, 캐리어) 일괄","100,000원",광주 북구 운암동,3,4,images/gj/gjimg89.jpg
농막 6~7평 화순입니다 천이백만,"1,200원",광주 서구 상무1동,10,1,images/gj/gjimg90.jpg
나이키 힙색 (새제품),"25,000원",광주 서구 화정2동,13,6,images/gj/gjimg91.jpg
디올 슬리퍼 사용감은 좀 있어요,"250,000원",광주 광산구 첨단1동,3,6,images/gj/gjimg92.jpg
원목평상,"50,000원",광주 광산구 신창동,5,1,images/gj/gjimg93.jpg
노비타제습기dh-155,"20,000원",광주 서구 풍암동,2,10,images/gj/gjimg94.jpg
주유보관증,"130,000원",광주 동구 용산동,4,3,images/gj/gjimg95.jpg
골프백 판매합니다,"50,000원",광주 광산구 장덕동,11,8,images/gj/gjimg96.jpg
