item,price,region,like,chat,image
이사해서 정리합니다.,"30,000원",부산 서구 남부민동,2,2,images/bs/bsimg63.jpg
위닉스 제습기,"160,000원",부산 부산진구 연지동,7,4,images/bs/bsimg64.jpg
선풍기 팝니다,"10,000원",부산 해운대구 우제3동,5,10,images/bs/bsimg65.jpg
싸게팝니다,1원,부산 연제구 연산제8동,5,7,images/bs/bsimg66.jpg
두나 리크 트라이크 세발자전거 (로얄블루),"50,000원",부산 해운대구 재송제1동,4,6,images/bs/bsimg67.jpg
리안 바구니카시트,"10,000원",부산 부산진구 범천동,7,6,images/bs/bsimg68.jpg
《이사처분》LG디오스 스탠드 김치냉장고,"380,000원",부산 북구 화명제1동,7,3,images/bs/bsimg69.jpg
프뢰벨 영아다중,"80,000원",부산 수영구 수영동,1,6,images/bs/bsimg70.jpg
갤럭시 노트10 판매합니다,"150,000원",부산 부산진구 부암동,6,4,images/bs/bsimg71.jpg
압력솥,"18,000원",부산 강서구 명지동,5,3,images/bs/bsimg72.jpg
식당 업소용 싱크대 판매 (사이즈 많음),"30,000원",부산 연제구 거제동,44,32,images/bs/bsimg73.jpg
미니제습기팝니다,"30,000원",부산 부산진구 초읍동,3,3,images/bs/bsimg74.jpg
원목테이블과 의자,"10,000원",부산 남구 대연제6동,12,9,images/bs/bsimg75.jpg
냉장고,"50,000원",부산 기장군 정관읍,5,8,images/bs/bsimg76.jpg
선풍기,10원,부산 강서구 명지2동,2,5,images/bs/bsimg77.jpg
퓨어코치 미니제습기,"14,000원",부산 기장군 일광읍,4,4,images/bs/bsimg78.jpg
BMW보스턴백 새거,"20,000원",부산 강서구 명지동,5,4,images/bs/bsimg79.jpg
추피의 생활동화 세이펜 버전,"60,000원",부산 사하구 괴정동,1,7,images/bs/bsimg80.jpg
LG 제습기,"100,000원",부산 영도구 동삼제1동,0,3,images/bs/bsimg81.jpg
LG 엘지 냉장고 237L,"150,000원",부산 부산진구 전포제2동,3,6,images/bs/bsimg82.jpg
금값만받아요,,부산 서구 서대신동1가,8,13,images/bs/bsimg83.jpg
추피 생활이야기 70권 세이펜버전,"75,000원",부산 사상구 괘법동,6,7,images/bs/bsimg84.jpg
18k 반지,"270,000원",부산 부산진구 전포제2동,7,6,images/bs/bsimg85.jpg
TV 티비  58인치,"120,000원",부산 동래구 온천제1동,10,4,images/bs/bsimg86.jpg
휘슬러 냄비 셋  팔아요,"100,000원",부산 남구 용호동,12,1,images/bs/bsimg87.jpg
코아존 보닉 고압세척기,"80,000원",부산 동구 범일동,5,3,images/bs/bsimg88.jpg
디엘티 65인치 LED TV,"200,000원",부산 동구 수정동,8,5,images/bs/bsimg89.jpg
삼성Tv 45인치,,부산 동래구 온천제2동,5,7,images/bs/bsimg90.jpg
긴급!! 쌀떡볶이떡 팝니다ㅠㅠ,"7,000원",부산 해운대구 우동,30,11,images/bs/bsimg91.jpg
자동차 자가정비 할때 쓰던 공구들 일괄정리 합니다.,"30,000원",부산 수영구 광안제2동,4,2,images/bs/bsimg92.jpg
콜라!! 가져가세요^^,"8,000원",부산 부산진구 범천제1동,7,5,images/bs/bsimg93.jpg
셀린느 에코백 스트라이프 에코백,"60,000원",부산 연제구 연산제2동,63,6,images/bs/bsimg94.jpg
크록스 260,"28,000원",부산 해운대구 우제1동,7,7,images/bs/bsimg95.jpg
