item,price,region,like,chat,image
잔자레인지 판매해요,"10,000원",강원도 춘천시 효자2동,3,5,images/gw/gwimg62.jpg
중고컨테이너,100원,강원도 홍천군 서면,0,14,images/gw/gwimg63.jpg
갤럭시 핏2,"30,000원",강원도 강릉시 교2동,3,5,images/gw/gwimg64.jpg
카놀라유,"3,000원",강원도 춘천시 우두동,1,2,images/gw/gwimg65.jpg
게토레이 한박스팝니다,"10,000원",강원도 춘천시 석사동,24,16,images/gw/gwimg66.jpg
캠핑에어컨,"150,000원",강원도 강릉시 회산동,11,1,images/gw/gwimg67.jpg
에어팟 프로 1세대,"100,000원",강원도 원주시 무실동,3,7,images/gw/gwimg68.jpg
철제미니선반,"5,000원",강원도 춘천시 강남동,7,3,images/gw/gwimg69.jpg
카페재료,"10,000원",강원도 원주시 반곡관설동,12,5,images/gw/gwimg70.jpg
행거선반,"35,000원",강원도 속초시 도문동,5,3,images/gw/gwimg71.jpg
한샘 샘키즈 장난감 수납장 판매합니다!,"30,000원",강원도 원주시 반곡동,11,7,images/gw/gwimg72.jpg
테팔 믹서기팔아요.,"15,000원",강원도 원주시 단구동,0,2,images/gw/gwimg73.jpg
물걸레청소기,"10,000원",강원도 동해시 이도동,1,2,images/gw/gwimg74.jpg
캐리어   스크레치는 조금 있어요 (보관중 생겼네요),"10,000원",강원도 강릉시 강남동,6,4,images/gw/gwimg75.jpg
충전예초기,"100,000원",강원도 강릉시 유산동,9,5,images/gw/gwimg76.jpg
코멧 5단 라탄 서랍장,"15,000원",강원도 원주시 우산동,8,3,images/gw/gwimg77.jpg
레벨기,"50,000원",강원도 고성군 토성면,1,3,images/gw/gwimg78.jpg
#화분,"20,000원",강원도 원주시 행구동,4,6,images/gw/gwimg79.jpg
화분다이,"5,000원",강원도 춘천시 퇴계동,2,4,images/gw/gwimg80.jpg
고무나무 3인용 식탁의자,"50,000원",강원도 춘천시 퇴계동,2,1,images/gw/gwimg81.jpg
화분다이,"10,000원",강원도 원주시 단구동,6,13,images/gw/gwimg82.jpg
대우 전자렌지 팝니다.,"20,000원",강원도 춘천시 근화동,3,6,images/gw/gwimg83.jpg
제습기 11리터,"75,000원",강원도 양양군 양양읍,3,2,images/gw/gwimg84.jpg
조리대판매합니다,"30,000원",강원도 강릉시 교1동,2,6,images/gw/gwimg85.jpg
"타이니모빌(흑백,컬러인형)","10,000원",강원도 원주시 지정면,0,4,images/gw/gwimg86.jpg
롤렉스 옛날시계 예물시계입니다  오래된건예요 수리좀해야합니다,1원,강원도 강릉시 교2동,4,9,images/gw/gwimg87.jpg
루이 손가방,"20,000원",강원도 강릉시 성내동,7,6,images/gw/gwimg88.jpg
판넬미터당  만원,"10,000원",강원도 영월군 영월읍,3,5,images/gw/gwimg89.jpg
보스 사운드 미니2 블루투스 스피커,"40,000원",강원도 원주시 태장동,7,6,images/gw/gwimg90.jpg
메리다 스컬트라 100 싸게 팝니다,"100,000원",강원도 원주시 태장1동,6,2,images/gw/gwimg91.jpg
가구 가전,,강원도 강릉시 홍제동,7,12,images/gw/gwimg92.jpg
1년채 재대로 사용못한 가구 판매합니다,100만원,강원도 강릉시 포남1동,10,3,images/gw/gwimg93.jpg
삼성 그랑ai 타워 세탁기 건조기,100만원,강원도 춘천시 삼천동,4,1,images/gw/gwimg94.jpg
야외테이블,"100,000원",강원도 원주시 반곡관설동,12,6,images/gw/gwimg95.jpg
