title,price,place,like,chat,image
맨시티 내한경기 부부동반 같이보러가실분(티켓지원),"120,000원",경기도 고양시 일산서구 대화동,16,16,images/image_68.jpg
야외용 테이블,"70,000원",제주 제주시 용담1동,5,6,images/image_69.jpg
위닉스뽀송 15리터 제습기,"70,000원",서울 송파구 거여동,5,13,images/image_70.jpg
냉장고,"50,000원",대구 수성구 범어동,4,13,images/image_71.jpg
클래식 수입 엔틱 의자,"10,000원",대전 서구 월평2동,14,9,images/image_72.jpg
베베드피노모자,"15,000원",인천 남동구 구월1동,0,16,images/image_73.jpg
아이폰 13 미니,"300,000원",부산 남구 대연동,6,16,images/image_74.jpg
창문형 에어컨,"15,000원",경기도 안산시 상록구 사동,9,19,images/image_75.jpg
신일 이동식 에어컨,"38,000원",서울 마포구 연남동,20,11,images/image_76.jpg
낚시 릴 팝니다! 가격 제안 주세요!,10원,경기도 파주시 야당동,11,17,images/image_77.jpg
드림타워하얏트호텔 양도합니다,"200,000원",제주 제주시 연동,11,28,images/image_78.jpg
이동식에어컨,"590,000원",광주 북구 신안동,6,16,images/image_79.jpg
엘지냉장고 480L,"150,000원",부산 북구 구포제2동,5,17,images/image_80.jpg
멸균서울우유 24×2,"15,000원",부산 동래구 온천동,3,11,images/image_81.jpg
삼성 60인치 LED TV,"100,000원",경기도 시흥시 장곡동,8,6,images/image_82.jpg
삼성 에어컨 2in1,"100,000원",전북 전주시 덕진구 송천동1가,7,10,images/image_83.jpg
7.14-15 풀빌라 양도,"260,000원",인천 연수구 송도동,72,26,images/image_84.jpg
에어컨/시레기,"60,000원",경남 김해시 봉황동,8,15,images/image_85.jpg
위닉스 제습기,"50,000원",서울 영등포구 대림제3동,6,13,images/image_86.jpg
노래방기계 팝니다,"50,000원",인천 남동구 구월동,9,6,images/image_87.jpg
김치냉장고,"50,000원",경남 김해시 부곡동,6,14,images/image_88.jpg
쿠잉 냉동고,"50,000원",서울 성북구 돈암동,7,10,images/image_89.jpg
Dewalt 업소용 청소기,"70,000원",대구 달성군 다사읍,6,8,images/image_90.jpg
제습기,"70,000원",충남 천안시 서북구 불당동,1,10,images/image_91.jpg
제습기,"20,000원",광주 동구 계림동,1,13,images/image_92.jpg
컴퓨터 본체 팝니다.,"500,000원",충북 청주시 흥덕구 옥산면,15,2,images/image_93.jpg
"블라인드 철제 선반, 앵글","10,000원",충북 청주시 흥덕구 오송읍,14,15,images/image_94.jpg
쿠쿠제습기1645전기1등급,"110,000원",서울 관악구 행운동,12,12,images/image_95.jpg
갤럭시 탭 S6 lite,"150,000원",경기도 용인시 수지구 상현1동,10,8,images/image_96.jpg
캠핑용품 정리,"10,000원",부산 기장군 정관읍,15,25,images/image_97.jpg
위니아 제습기,"30,000원",제주 제주시 연동,9,22,images/image_98.jpg
컴퓨터 부품 팝니다,"40,000원",서울 노원구 상계6.7동,13,20,images/image_99.jpg
