item,price,region,like,chat,image
케리어 에어컨 2in1 냉난방 실외기포함,"500,000원",전북 전주시 완산구 효자5동,5,11,images/jb/jbimg60.jpg
세탁기,"50,000원",전북 전주시 덕진구 금암1동,4,14,images/jb/jbimg61.jpg
구찌지갑,"30,000원",전북 전주시 완산구 효자동3가,13,6,images/jb/jbimg62.jpg
제빙기,"150,000원",전북 전주시 덕진구 우아2동,6,6,images/jb/jbimg63.jpg
전기 전압 테스트기,"5,000원",전북 익산시 신동,2,3,images/jb/jbimg64.jpg
치약판매합니다.,"1,000원",전북 정읍시 상동,7,13,images/jb/jbimg65.jpg
고추건조기 팝니다.,"150,000원",전북 익산시 모현동,3,5,images/jb/jbimg66.jpg
전축,"50,000원",전북 전주시 완산구 효자동1가,10,12,images/jb/jbimg67.jpg
컴퓨터 책상 3만원입니다,"30,000원",전북 남원시 월락동,9,9,images/jb/jbimg68.jpg
디올 여성 가방 팔아요 ^^,,전북 전주시 덕진구 금암동,8,5,images/jb/jbimg69.jpg
그레이 갤럭시 s20+5g  팝니다 256기가,"100,000원",전북 전주시 완산구 효자동3가,10,9,images/jb/jbimg70.jpg
미니냉장고,"60,000원",전북 전주시 덕진구 여의동,4,3,images/jb/jbimg71.jpg
직구 믹서기,"10,000원",전북 전주시 완산구 교동,6,3,images/jb/jbimg72.jpg
돌쇼파,"200,000원",전북 전주시 완산구 서신동,6,5,images/jb/jbimg73.jpg
인셀덤 화장품,"18,000원",전북 전주시 완산구 서신동,20,8,images/jb/jbimg74.jpg
나무 수납,"30,000원",전북 전주시 덕진구 우아2동,36,7,images/jb/jbimg75.jpg
온수매트,나눔🧡,전북 익산시 영등1동,2,5,images/jb/jbimg76.jpg
게이밍 컴퓨터,"600,000원",전북 전주시 덕진구 금암1동,3,6,images/jb/jbimg77.jpg
이번주에 가져가시면 10만원에 드릴께요,"100,000원",전북 익산시 삼성동,1,1,images/jb/jbimg78.jpg
자동차 워셔액 팝니다,500원,전북 익산시 마동,8,4,images/jb/jbimg79.jpg
lg 다이아몬드 통돌이세탁기 17kg,"100,000원",전북 전주시 완산구 평화동2가,1,4,images/jb/jbimg80.jpg
야외용버너싸게팝니다 20000,,전북 전주시 완산구 효자동2가,5,5,images/jb/jbimg81.jpg
추피,"60,000원",전북 전주시 덕진구 금암동,3,10,images/jb/jbimg82.jpg
