item,price,region,like,chat,image
미니재봉틀,"10,000원",울산 북구 명촌동,9,6,images/us/usimg70.jpg
MCM백팩 L 사이즈,"60,000원",울산 남구 달동,9,6,images/us/usimg71.jpg
햇반 컵밥,"12,000원",울산 중구 반구동,4,3,images/us/usimg72.jpg
위닉스 건조기 2세대 팔아요,"164,316원",울산 남구 신정2동,10,2,images/us/usimg73.jpg
아이폰14프로맥스딥퍼플256기가 팝니다,100만원,울산 울주군 온산읍,4,2,images/us/usimg74.jpg
몬스테라 알보 (완료),"50,000원",울산 남구 삼산동,19,8,images/us/usimg75.jpg
리바트 5단 서랍장 아기서랍장 옷정리,"50,000원",울산 중구 다운동,16,5,images/us/usimg76.jpg
명품시계,350원,울산 남구 무거동,5,15,images/us/usimg77.jpg
1구인덕션,"10,000원",울산 북구 농소2동,3,6,images/us/usimg78.jpg
귀여운 써큘선풍기 올려요~,"5,000원",울산 울주군 언양읍,3,8,images/us/usimg79.jpg
명품 다 정리합니다,999만 9999원,울산 울주군 온산읍,7,17,images/us/usimg80.jpg
p11 레노버 테블릿 4/64,"90,000원",울산 중구 복산2동,20,11,images/us/usimg81.jpg
청소기,"5,000원",울산 북구 송정동,3,3,images/us/usimg82.jpg
세탁기 팝니다.,"30,000원",울산 남구 달동,0,2,images/us/usimg83.jpg
여행가방 기내용 18인치 캐리어,"10,000원",울산 남구 신정2동,12,4,images/us/usimg84.jpg
화분 팝니다,"10,000원",울산 남구 달동,3,10,images/us/usimg85.jpg
버너판매,"50,000원",울산 울주군 범서읍,2,1,images/us/usimg86.jpg
위닉스 제습기 13L,"90,000원",울산 울주군 언양읍,2,4,images/us/usimg87.jpg
제습기 팔아요!!,"35,000원",울산 남구 무거동,8,5,images/us/usimg88.jpg
바베큐그릴,"10,000원",울산 동구 남목1동,12,14,images/us/usimg89.jpg
삼성 청소기,"5,000원",울산 동구 서부동,1,2,images/us/usimg90.jpg
화물용 케리어,"20,000원",울산 남구 신정동,18,7,images/us/usimg91.jpg
수국팔아요,1원,울산 북구 화봉동,2,5,images/us/usimg92.jpg
먹태깡,"2,000원",울산 중구 다운동,3,5,images/us/usimg93.jpg
이케아 슬렉트 침대,"10,000원",울산 중구 유곡동,5,3,images/us/usimg94.jpg
Tv팝니다,"30,000원",울산 중구 장현동,5,8,images/us/usimg95.jpg
아이폰 11프로 64,"300,000원",울산 남구 삼산동,0,7,images/us/usimg96.jpg
원터치텐트.원터치모기장.전자몸무게저울,"20,000원",울산 중구 학성동,2,5,images/us/usimg97.jpg
에그녹 라이언 4y 새상품,"59,000원",울산 울주군 범서읍,3,3,images/us/usimg98.jpg
등산배낭 외,"40,000원",울산 중구 태화동,3,3,images/us/usimg99.jpg
