item,price,region,like,chat,image
145L 냉장고 팝니다,"10,000원",충남 천안시 동남구 목천읍,1,2,images/cn/cnimg62.jpg
s22울트라 리퍼폰,"749,000원",충남 천안시 서북구 두정동,4,6,images/cn/cnimg63.jpg
헌터 오리지널 톨 레인부츠 (무광)  사이즈 240 새상품,"110,000원",충남 천안시 서북구 두정동,11,9,images/cn/cnimg64.jpg
노기스,"1,234원",충남 아산시 음봉면,8,13,images/cn/cnimg65.jpg
다이슨선풍기,"160,000원",충남 천안시 서북구 백석동,23,5,images/cn/cnimg66.jpg
제발 가져가세용. 옷이 너무 많아요 ㅋㅋㅋ,"10,000원",충남 천안시 서북구 성정동,17,4,images/cn/cnimg67.jpg
LG 냉장고 278L (2018년 구매),"200,000원",충남 아산시 배방읍,7,7,images/cn/cnimg68.jpg
에어컨 팔아요.,"200,000원",충남 아산시 음봉면,2,8,images/cn/cnimg69.jpg
세탁기건조기세트,"550,000원",충남 천안시 동남구 신방동,5,3,images/cn/cnimg70.jpg
냉장고,"100,000원",충남 공주시 옥룡동,3,2,images/cn/cnimg71.jpg
포그내 맥스 올인원 판매합니다,"110,000원",충남 아산시 탕정면,6,5,images/cn/cnimg72.jpg
암막커튼,"20,000원",충남 아산시 배방읍,6,3,images/cn/cnimg73.jpg
디월트 DCF815 12V2A 본체+배터리 팝니다,"100,000원",충남 논산시 대교동,5,9,images/cn/cnimg74.jpg
여러물건 사가세요,"30,000원",충남 보령시 청라면,3,8,images/cn/cnimg75.jpg
5단 서랍장,"5,000원",충남 아산시 배방읍,7,3,images/cn/cnimg76.jpg
완전 새신발   265,"40,000원",충남 천안시 서북구 쌍용1동,2,5,images/cn/cnimg77.jpg
헌터레인부츠,"15,000원",충남 당진시 수청동,5,5,images/cn/cnimg78.jpg
노트북 갤럭시북고 13만,"130,000원",충남 천안시 서북구 두정동,14,8,images/cn/cnimg79.jpg
잘만 컴퓨터 본체 케이스,"10,000원",충남 아산시 탕정면,3,5,images/cn/cnimg80.jpg
티비 팔아요,"30,000원",충남 천안시 서북구 성성동,8,9,images/cn/cnimg81.jpg
삼성 냉장고(306리터),"200,000원",충남 부여군 부여읍,3,6,images/cn/cnimg82.jpg
플립3 256 크림 저렴히팝니다,"170,000원",충남 천안시 동남구 청룡동,10,4,images/cn/cnimg83.jpg
선풍기판매,"25,000원",충남 서산시 예천동,0,3,images/cn/cnimg84.jpg
이사처분) lg 냉장고 189리터,"180,000원",충남 아산시 배방읍,7,5,images/cn/cnimg85.jpg
원형탁자 가져가세요,"1,000원",충남 아산시 배방읍,1,3,images/cn/cnimg86.jpg
추피책판매합니다.,"30,000원",충남 서산시 성연면,2,5,images/cn/cnimg87.jpg
에어팟 맥스 스그 2시간착용,"450,000원",충남 천안시 서북구 직산읍,2,4,images/cn/cnimg88.jpg
보쉬 전동드릴 판매합니다.,"50,000원",충남 아산시 온양6동,4,5,images/cn/cnimg89.jpg
에어컨판매해요,"300,000원",충남 당진시 당진3동,0,4,images/cn/cnimg90.jpg
아이폰 12프로,"250,000원",충남 보령시 웅천읍,2,4,images/cn/cnimg91.jpg
애어팟 3팔아요,"59,000원",충남 천안시 서북구 성정1동,3,4,images/cn/cnimg92.jpg
넷플릭스 같이 보실 분,"2,500원",충남 천안시 서북구 불당동,3,4,images/cn/cnimg93.jpg
아이폰11 128기가,"360,000원",충남 천안시 서북구 차암동,4,6,images/cn/cnimg94.jpg
전자레인지 판매,"15,000원",충남 천안시 서북구 차암동,4,5,images/cn/cnimg95.jpg
