item,price,region,like,chat,image
크록스샌들,"18,000원",인천 계양구 작전서운동,3,3,images/ic/icimg66.jpg
압력솥 팝니다,"10,000원",인천 서구 마전동,2,4,images/ic/icimg67.jpg
고투 캠핑용 의자판매합니다,"10,000원",인천 중구 운서동,4,11,images/ic/icimg68.jpg
갤럭시 노트10 256g 판매,"110,000원",인천 연수구 송도1동,2,5,images/ic/icimg69.jpg
LG 4도어 DIOS 870L 냉장고,"300,000원",인천 동구 화수2동,5,5,images/ic/icimg70.jpg
카누180,"21,000원",인천 남동구 논현1동,1,7,images/ic/icimg71.jpg
구찌 곰돌이 티셔츠,"50,000원",인천 부평구 부평1동,5,6,images/ic/icimg72.jpg
보드게임 일괄 가져가실분,나눔🧡,인천 부평구 부개동,3,6,images/ic/icimg73.jpg
18k반지 한쌍 팝니다,"100,000원",인천 서구 가좌동,7,3,images/ic/icimg74.jpg
여행용 캐리어/ 20인치 기내용 캐리어,"37,000원","인천 미추홀구 도화2,3동",19,12,images/ic/icimg75.jpg
심플룸 교구장,"20,000원",인천 부평구 삼산2동,11,3,images/ic/icimg76.jpg
맥북 프로 2016 15인치,"200,000원",인천 계양구 계산3동,6,3,images/ic/icimg77.jpg
65인치 tv 프리즘,"150,000원",인천 서구 검암경서동,9,6,images/ic/icimg78.jpg
야마토야 식탁의자 팔아요~,"20,000원",인천 부평구 부평3동,11,6,images/ic/icimg79.jpg
위닉스 제습기 16L,"150,000원",인천 부평구 삼산2동,5,3,images/ic/icimg80.jpg
셀린느 시계,"39,000원",인천 미추홀구 용현동,13,2,images/ic/icimg81.jpg
삼성 제습기,"130,000원",인천 연수구 송도동,3,4,images/ic/icimg82.jpg
겔럭시탭 a7 lite,"130,000원",인천 부평구 청천동,2,2,images/ic/icimg83.jpg
"테이블,냉장고,제빙기,티비등등 물건들 정리합니다","40,000원",인천 남동구 논현고잔동,7,10,images/ic/icimg84.jpg
노트10 액정깨진고장폰,"30,000원",인천 남동구 구월1동,9,9,images/ic/icimg85.jpg
수납장 판매,"45,000원",인천 남동구 구월1동,29,6,images/ic/icimg86.jpg
먹태깡 4봉 일괄판매,"15,000원",인천 연수구 선학동,4,11,images/ic/icimg87.jpg
오쿠사용가능,"12,000원",인천 계양구 임학동,6,7,images/ic/icimg88.jpg
레이디 디올 미니백,"600,000원",인천 연수구 송도2동,38,5,images/ic/icimg89.jpg
시스템니트셋트,"10,000원",인천 연수구 연수2동,3,2,images/ic/icimg90.jpg
장식품 콘솔,"10,000원",인천 계양구 작전동,5,12,images/ic/icimg91.jpg
컴퓨터 팝니다,"100,000원",인천 남동구 간석동,0,5,images/ic/icimg92.jpg
네스트호텔 숙박권(조식+수영장+바다뷰),"250,000원",인천 부평구 부평2동,39,6,images/ic/icimg93.jpg
양문형 냉장고,"15,000원",인천 서구 오류왕길동,0,4,images/ic/icimg94.jpg
써큘레이터 / 선풍기,"7,000원",인천 부평구 부개2동,6,20,images/ic/icimg95.jpg
전자렌지,"10,000원",인천 연수구 옥련2동,3,6,images/ic/icimg96.jpg
멸균우유,"10,000원",인천 미추홀구 주안7동,2,6,images/ic/icimg97.jpg
사무 및 게임도 가능한 컴퓨터 풀세트! (듀얼모니터 가능),"350,000원",인천 서구 청라동,8,7,images/ic/icimg98.jpg
