index,item,price,region,like,chat,image
23,프라다 사피아노 핸드백,"100,000원",서울 강남구 논현2동,25,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/bee91f290045b450b3f1a2b91ce47fd531ad7522bb5ee5c0eb0a7ef7f8c04de5_0.webp?q=82&s=300x300&t=crop&f=webp
24,전기자전거,"99,000원",서울 종로구 인사동,35,61,https://dnvefa72aowie.cloudfront.net/origin/article/202307/3f54fbbae63ef42a60b9d0a214c4507434e726e39497dbb85cf6101b947a53a8_0.webp?q=82&s=300x300&t=crop&f=webp
25,마이크로 킥보드 맥시+폴리 킥보드,"10,000원",서울 중랑구 신내1동,4,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/352e8e5ed0e1c34e67fd40be5b9499f8ffaf2ef7aaaca3a941c6ef8b2756991b_0.webp?q=82&s=300x300&t=crop&f=webp
26,아임삭 전동드릴 판매합니다,"50,000원",서울 구로구 구로제4동,14,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/661ce4dee26ac77f73b4b49f3b19451854974a6181a9accecc2a0b6ab51fe1ec_0.webp?q=82&s=300x300&t=crop&f=webp
27,삼성 드럼세탁기 팝니다.2017년 구입,"70,000원",서울 강북구 번3동,8,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cde399301e2f5fb5ec83c2a27d698afdb6597163bef4202e2946407097ee9d76.jpg?q=82&s=300x300&t=crop&f=webp
28,과자 2만원에 일괄로 가져가세요,"20,000원",서울 금천구 가산동,44,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d6284c882eb721618ece615a2e16e3e9e1ef52cc75f27a22f91ac0621c5fc5a5.jpg?q=82&s=300x300&t=crop&f=webp
29,전부 이만원,"20,000원",서울 강북구 번동,8,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/3d29f67f52b5989279dd284e7597b13b09c04953d77fbb2895fe58f214021294_0.webp?q=82&s=300x300&t=crop&f=webp
30,삼성 스탠드 에어컨,"40,000원",서울 양천구 목동,4,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7fbdf5aef7bcaff94f7d507ab8219f9d4df523b575a3e0b43b7c354b2143a00d_0.webp?q=82&s=300x300&t=crop&f=webp
31,삼성 525L 냉장고,"135,000원",서울 중랑구 망우동,8,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cf9282be492aff07646444c0c06d2be6a02549d79f28279f4d78cc0a653b66e7.jpg?q=82&s=300x300&t=crop&f=webp
32,이케아 중고 철재서랍장 판매합니딘.,"5,000원",서울 은평구 응암동,5,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/360abf8d39ee2e6af835c50b01e1ca06f38486a775c3fc53896bf0292339af48_0.webp?q=82&s=300x300&t=crop&f=webp
33,위닉스 제습기,"85,000원",서울 강서구 등촌동,6,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e74b9d210d3dcc41468fb93637eb9a18143fb5fc40fa16882e65597b74249823_1.webp?q=82&s=300x300&t=crop&f=webp
34,CD와. 장식장,,서울 양천구 목1동,9,23,https://dnvefa72aowie.cloudfront.net/origin/article/202307/006c02fe96ebf0c2d843a144b86ada0dd3490206180cbb404446360e7bdd7eda.webp?q=82&s=300x300&t=crop&f=webp
35,폴스부띠끄 도트겸 크로스백,나눔🧡,서울 송파구 잠실본동,9,18,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cc77599bb273ccdbbae27378dc13033739c27a0ae7606318f1f25224c3394df1.jpg?q=82&s=300x300&t=crop&f=webp
36,스토케 트립트랩,,서울 송파구 잠실2동,4,19,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e837dfb1d5cf500d15412afc0639a8bfdd19408906ef3f23a300809a8876911b_0.webp?q=82&s=300x300&t=crop&f=webp
37,루이비통 프라다 빈티지백,"60,000원",서울 영등포구 문래동6가,24,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/9e4a64adc1e481089f6e592ac9376af0977b73d42bfea5b1377af1fa69fe6b55.jpg?q=82&s=300x300&t=crop&f=webp
38,LG 제습기 DQ200PPBC,"300,000원",서울 서초구 반포4동,12,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b559ba1171b762529328af5ce02afe12bbfe9594142927077e3c985e698304bc_0.webp?q=82&s=300x300&t=crop&f=webp
39,다이슨 선풍기,"90,000원",서울 서초구 서초3동,11,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/139d943c9ef26952027725ed343f2469cfae4e91f341b4a70fad0f417a8fc561.jpg?q=82&s=300x300&t=crop&f=webp
40,헌터 레인부츠,"50,000원",서울 구로구 항동,18,21,https://dnvefa72aowie.cloudfront.net/origin/article/202307/25b4444b42efd09c279896eddf49cbf83e29827e1f382444257a038169a26620_0.webp?q=82&s=300x300&t=crop&f=webp
41,다이슨선풍기,"50,000원",서울 강남구 압구정동,10,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8e9af0bfc08544c1f743c85a33a3cda55b0b625c9d808cd3f0e8bbb461676c79.jpg?q=82&s=300x300&t=crop&f=webp
42,삼성 커브드 모니터,"50,000원",서울 서초구 서초동,3,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/aca9cbf26d106b46b3924d4fe724b2aeec9a921210ba7bc2d7adc9c8c979bbfd_0.webp?q=82&s=300x300&t=crop&f=webp
43,딱한번 사용했어요,"500,000원",서울 동대문구 장안제1동,8,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/6bbede104f337435b4df36ad1bb4a6dfa11cdb4457801119586ab55365231c64.jpg?q=82&s=300x300&t=crop&f=webp
44,참새우젓 2kg,"13,000원",서울 강동구 암사동,47,38,https://dnvefa72aowie.cloudfront.net/origin/article/202307/9c3238fd9578a84fc7a23a2e099dc2ffea134e6a0299edbdef400c92cdda3e38_0.webp?q=82&s=300x300&t=crop&f=webp
45,신일 선풍기,"10,000원",서울 관악구 봉천동,1,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f3557b54999115da1e3628ba2f99a279b1d159d177b36c24ff31bfb6b7691a37.jpg?q=82&s=300x300&t=crop&f=webp
46,100달러 50달러 팝니다,"140,000원",서울 관악구 미성동,21,59,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cbd8cf049966c8f52af4b50608a71f37aed48243cca61789b65f9056b33d934c_0.webp?q=82&s=300x300&t=crop&f=webp
47,"타이틀리스트 52,57,60도 웨지","30,000원",서울 노원구 월계동,25,18,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e75c0e378faad5cb44305b647af441ad26ebe9b580adce3d0dcc573fdb329bb4.jpg?q=82&s=300x300&t=crop&f=webp
