index,item,price,region,like,chat,image
24,야자매트  새물건 판매 합니다.   1M×10M,"71,500원",광주 북구 운암동,58,22,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8e95424a72f494d5ed53ada6e5503bbea7ae934ae28a6a194782d0c945b14f6c_0.webp?q=82&s=300x300&t=crop&f=webp
25,이동식주택팝니다,1000만원,광주 북구 중흥3동,82,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/729fddf95fd93e92fbbd055783f0ddde53d02eca59f2071922904b14f796c876.jpg?q=82&s=300x300&t=crop&f=webp
26,어린이 자전거.3만,"30,000원",광주 서구 동천동,5,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/56bddd50643f2a81b09974aa660314333f1f1b9989a2af48d1cb8c49826edcaf_0.webp?q=82&s=300x300&t=crop&f=webp
27,중흥골드스파,"5,000원",광주 서구 풍암동,12,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d21158fbd6d8103637f18b8ba82fbd89be1f52229099a5442aa0666da2acca63_0.webp?q=82&s=300x300&t=crop&f=webp
28,버버리 셔츠,"80,000원",광주 서구 상무1동,7,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2b74b67b2cb58705d1c371be42d85fc1b73066b4b24b5bc8a55aae7357883324.jpg?q=82&s=300x300&t=crop&f=webp
29,LG 에어컨 2in1,"650,000원",광주 북구 양산동,4,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b0eca339fdf1d397c1dc7d05eca7ce6023d7509c28cb4b38158a5b71e48fbceb.jpg?q=82&s=300x300&t=crop&f=webp
30,"냉장고 ,티비 팔아요","50,000원",광주 서구 매월동,3,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a52a1e3ba9321d9651624e6860bc8dc20735ec282d7e54e428adf69cfb612a18_0.webp?q=82&s=300x300&t=crop&f=webp
31,LG 세탁기. 건조기,110만원,광주 광산구 장덕동,24,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/19989327b2fb3942d0f41ce5842607c5e0794cf8c0d2f9ed7ed4a1b3cea45322.webp?q=82&s=300x300&t=crop&f=webp
32,구찌 향수,"10,000원",광주 서구 동천동,5,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ea9fff6c25cac1717a57de366e658f0efe3b0443367b01a881a20f5006e0ecf8_0.webp?q=82&s=300x300&t=crop&f=webp
33,폴드2팔아요,"70,000원",광주 북구 운암1동,7,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8b5f3bc5eee01e33fd70f8ae377e1e20467c243c0f186cd05447d8b2bb2860e2_0.webp?q=82&s=300x300&t=crop&f=webp
34,쿠쿠 전기밥솥,"10,000원",광주 북구 용봉동,1,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/0a290c7a23a68f77517060ccf2db8dfdabf2fd1eb2c1d42182ce2369b9938735_0.webp?q=82&s=300x300&t=crop&f=webp
35,엘지 냉장고,"100,000원",광주 북구 일곡동,3,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/871d77849a157d6e16395ae94bce9b893ab91ddd853958d3b3324c135faf327e_0.webp?q=82&s=300x300&t=crop&f=webp
36,LG건조기 9키로 2017년형,"200,000원",광주 광산구 수완동,14,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/1d8f514ddfb1e5bbd737d7547902f6efe7a3ea36f6472c76458f16111e11b500.jpg?q=82&s=300x300&t=crop&f=webp
