index,item,price,region,like,chat,image
24,메리다 900kr,"150,000원",세종시  종촌동,4,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/dea55f7e1e29e2b42f6c035c8b1a251edfdb4cda6595f2aec61ef00cf2d2f39c_0.webp?q=82&s=300x300&t=crop&f=webp
25,난 책읽기가 좋아 비룡소 1단계 30권,"20,000원",세종시  새롬동,5,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/627c0a56392db9c44f00be37d0278a32f6492533180ba929b89349ef27f588ae.jpg?q=82&s=300x300&t=crop&f=webp
26,내일까지 가져실수 있으시면 10만원에 팝니다,,세종시  다정동,5,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8b4982da4dccea72d2ec5187f11aa53e1b521fca32b6d8b4f3da439bb7d89f95_0.webp?q=82&s=300x300&t=crop&f=webp
27,LG 울트라HD TV 55인ㅊㄱ,"200,000원",세종시  새롬동,2,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/53a4787e786574f267865506e3454a0a2d69078c00774e9132a30d0dd43065a0_0.webp?q=82&s=300x300&t=crop&f=webp
28,베이비젠 요요 휴대용 유모차,"100,000원",세종시  한솔동,5,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/1feb801839aa642c5e082f1104f21e6fd77895d0a315e419c55ec69ff4170361.webp?q=82&s=300x300&t=crop&f=webp
29,60인치 LED TV + 이동식거치대,"500,000원",세종시  다정동,10,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/6bcaf692e6bda7ea4e85c240d4827d37936ced17a39edd102a6cfe653b69f4d3.jpg?q=82&s=300x300&t=crop&f=webp
30,전자렌지,"10,000원",세종시  반곡동,1,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/821dafe5e34d8870724dc946c5b7ecf5a47234fb2d504b31cd1cdf39ca946300.jpg?q=82&s=300x300&t=crop&f=webp
31,키즈풀빌라양도,,세종시  집현동,3,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4852705fa3017d4b27f8684227bb4a02af4f448d58b81b1d172df55b8fa212b0_0.webp?q=82&s=300x300&t=crop&f=webp
32,크록스 팝니다 250mm,"12,000원",세종시  반곡동,1,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/89dae5b4dc47730d579cd025d26c235f40ad48b978b150273c976cf37e22c27a_0.webp?q=82&s=300x300&t=crop&f=webp
33,"도기 세면대, 수전 세트 판매","30,000원",세종시  나성동,38,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/C60CAE50C15CE863AC1B4EB6CE18E3E471B9AE269BDE23B725798AD760A7C2D2.jpg?q=82&s=300x300&t=crop&f=webp
34,레스포 20인치 자전거,"50,000원",세종시  새롬동,3,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/676f8cc0c1c9b220c75de73bd5637968acf39b123142651d1bc2039edeb2c816_0.webp?q=82&s=300x300&t=crop&f=webp
35,내일 가져가시면 5만원,"60,000원",세종시  어진동,2,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a93cc86793af5f23e5d0d06358ba133860bd865142dd956a9fdbcbf8b8db18d8_0.webp?q=82&s=300x300&t=crop&f=webp
36,김치냉장고,"15,000원",세종시  나성동,4,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b7d1083baddcf0b3fd86b806c78645f96dffdfb02bf91c2d0979589f541e415e_0.webp?q=82&s=300x300&t=crop&f=webp
37,캐리비안베이 이용권,"36,000원",세종시  나성동,2,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/144f2d0e8b3c0fe0838ff723dd432a3fbcda50020ecec398120594321d4fe199.jpg?q=82&s=300x300&t=crop&f=webp
38,캐리어,"2,000원",세종시  조치원읍,5,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e50bf99a47a7db03af38cce47e91ff4e99318d4e68041e9e1f06cceedd96dec0_0.webp?q=82&s=300x300&t=crop&f=webp
39,1단 철제선반,"10,000원",세종시  집현동,11,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/1cf7c9f2c358ddcde1ab495aa6d689b8479e7383cae27aeb5f7e257fc639b4b3_0.webp?q=82&s=300x300&t=crop&f=webp
40,원목 선반,"8,000원",세종시  집현동,3,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a2c2d6eee3d20255a96873946a5fee5031e8db97ae389065da5b9ed8f35ed93d_0.webp?q=82&s=300x300&t=crop&f=webp
41,본체 팝니다.,"50,000원",세종시  대평동,2,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8c47a417424b884217eea035b5333c8fe9888e21f5321c277efcb6be008b9d2f_0.webp?q=82&s=300x300&t=crop&f=webp
42,계획표 갖고가실분,나눔🧡,세종시  아름동,2,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/d74ab45e7dccba6a0ef12256a86690befcc176c8117a1e86300f87f6205d1dda_0.webp?q=82&s=300x300&t=crop&f=webp
43,[하기스 기저귀] 하기스 맥스드라이 밴드형 3단계,"3,000원",세종시  고운동,1,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/70b2027c08b28c0b202d00af7d779eaec168cdfe5403a87245348be42e3dd541.jpg?q=82&s=300x300&t=crop&f=webp
44,다우닝 6인 원목식탁 입니다,"50,000원",세종시  도담동,14,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4b1c642a0192077aded53f6da6f1e77db143e52506c76e1eed371bd460435f80_0.webp?q=82&s=300x300&t=crop&f=webp
45,아이폰11 64G,"290,000원",세종시  연서면,5,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/aaf0f621a800a65fe98f8e2022394bebb0654e461d5482c9e615122fb2e4b9db_0.webp?q=82&s=300x300&t=crop&f=webp
46,"시공주니어2, 3단계 외","50,000원",세종시  새롬동,9,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b6bbb33511df59139fe245fbc2a805b0a27d5d3d230f0c6e0d1d6eca6f95dddf.jpg?q=82&s=300x300&t=crop&f=webp
47,매장정리하고있습니다,150만원,세종시  새롬동,1,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/1a021824b729b4e85c87b958e675287e674edcfb54cec64c08697c49ce419d42_0.webp?q=82&s=300x300&t=crop&f=webp
