index,item,price,region,like,chat,image
24,갤A23,"150,000원",인천 서구 청라동,7,15,https://dnvefa72aowie.cloudfront.net/origin/article/202307/88253333bab83c351abc350a4bec709711d8e3332c2eb66b696840182c363e73_0.webp?q=82&s=300x300&t=crop&f=webp
25,몽클.스톱.발레시아가.등 여러종류있어요 문의주세요,,인천 미추홀구 학익2동,30,30,https://dnvefa72aowie.cloudfront.net/origin/article/202307/86a63839b2b84d66d82cddc7cc5512f03d196a818334c4d06c7588c42dd46fcc.webp?q=82&s=300x300&t=crop&f=webp
26,루이비통클러치,"350,000원",인천 부평구 삼산1동,18,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5912358c188abed91a71becf204885acb7639c31d1b0787f503ba19f2918d034.jpg?q=82&s=300x300&t=crop&f=webp
27,에어컨,"90,000원",인천 부평구 부평5동,2,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/9f48628301fa7da1d42145fd9c8c6257280dec6c5a552b120f8fe1817a3f6d16_0.webp?q=82&s=300x300&t=crop&f=webp
28,한달전에 쿠팡에서 구매한 냉장고 완전A급,"100,000원",인천 부평구 부평5동,16,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c686a5f8a6c2eba63a1ae8beb52fff9f57a6001edf63d2b76b6b4311b06e37bb_0.webp?q=82&s=300x300&t=crop&f=webp
29,4단앵글선반,"30,000원",인천 부평구 십정동,8,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ee23269e941ed2ef2646574a4ebcd26b9663a04aa2d9dc6ad885ef6cd39c02c0_0.webp?q=82&s=300x300&t=crop&f=webp
30,오메가 시마스터 007시계 팔아용!!,,인천 연수구 연수2동,5,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e14c4bbb65a33cad1d211d82970db0ab24bfc52cb9a756e4b2f9f9931fef8085.webp?q=82&s=300x300&t=crop&f=webp
31,에트로 토트백,"10,000원",인천 남동구 서창2동,5,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/3c254d2263a629c04abd37570da7f9c3a50b6443c9b8636f4f569af34dc21c0a_0.webp?q=82&s=300x300&t=crop&f=webp
32,딤채 쁘띠 김치냉장고,"70,000원",인천 서구 가정2동,5,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b06fe7b62e663ae8f5af3833a7f40daef5f6ff664b9e22bfb85c1bdc913d970a_0.webp?q=82&s=300x300&t=crop&f=webp
33,반건조오징어,"5,000원",인천 부평구 갈산1동,10,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e0324c518fc11c00acf5159eb1295334b46bc5a66599d77b5d8b3e0b65fd33c6_0.webp?q=82&s=300x300&t=crop&f=webp
34,엘지냉장고 LG냉장고 4도어냉장고 팝니다,"60,000원",인천 서구 청라2동,8,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/af172d4a4f2e14fab7ac17bea7d0393b015374ed9a15191afa4e7b8c74be0fea.jpg?q=82&s=300x300&t=crop&f=webp
35,냉장고,"50,000원",인천 부평구 부평동,10,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/bdb7591bcbfebd67d814eb6730bb034078159fb1639f5063d881af937e2548e9_0.webp?q=82&s=300x300&t=crop&f=webp
36,웅진 토토리 세계명작 등,"30,000원",인천 연수구 동춘2동,2,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a8aee55b0cd125c7eecb64e91fedcecfdf4f43c8ca42dfda63a7e7efb6a2dcfa.jpg?q=82&s=300x300&t=crop&f=webp
37,코카콜라냉장고,"50,000원",인천 서구 가좌2동,11,8,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cfe0d1399d6071c1c2e11c8d639b265b22a8ebce8619eee71d28a77f531b4c66_0.webp?q=82&s=300x300&t=crop&f=webp
38,가방 팔아요~^^,"200,000원",인천 남동구 간석동,15,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/1fdb658af629d4b2df04cc9b361dfb8c86b9f7bd44a06be81fd4e24c415428d6_0.webp?q=82&s=300x300&t=crop&f=webp
39,캠핑 롤 우드테이블 팔아요(새상품),"20,000원",인천 부평구 부평4동,67,27,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ce65589ff3523b83651d6a7ac80647166215096bcf334638baea9c2a97ef07ba.jpg?q=82&s=300x300&t=crop&f=webp
40,LG TV  팔아요...,"50,000원",인천 서구 청라동,25,30,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5820e6d19d48dfc70dba5e16c9a9cad244900bf6a0c314d2df031a61ce3b8014.webp?q=82&s=300x300&t=crop&f=webp
41,구찌 마몽  그로스백,"250,000원",인천 중구 중산동,47,28,https://dnvefa72aowie.cloudfront.net/origin/article/202307/708915a1a083c719cc15157d983c8652d22aef96da99921211e7c3e1471f223c_0.webp?q=82&s=300x300&t=crop&f=webp
42,텐트,"80,000원",인천 연수구 송도동,13,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2505bdd9c3455d3a7c4e76eea586d676730e8fcc783b963bd53dbb0edebdf969_0.webp?q=82&s=300x300&t=crop&f=webp
43,이케아 헬메르 서랍장,"1,000원",인천 서구 신현동,3,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/463539d3c45080db91cd571ed73d55340a9c7b274b2baf30d5fcc8d196fe59e3.jpg?q=82&s=300x300&t=crop&f=webp
44,리바트 꼼므 책상,"60,000원",인천 계양구 효성동,10,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cac643aa63b4aa29952b0e4d4f8c28ca00e4a67b776925555011f1e59706806a_0.webp?q=82&s=300x300&t=crop&f=webp
45,5단앵글,"50,000원",인천 부평구 부평동,4,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/63247373335512e24fd16369824682532c74af4e65bff7834fefe728c2555b45_0.webp?q=82&s=300x300&t=crop&f=webp
46,엘지 상냉장 하냉동 투도어 냉장고 판매합니다,"80,000원",인천 중구 운서동,4,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2a1b25f8c4f5b6cd4fab364d226dba7b20fc218f1157f6df0bcbba3ec3710431_0.webp?q=82&s=300x300&t=crop&f=webp
47,크록스 270mm,"15,000원",인천 계양구 방축동,9,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c2d026a3f12f0969cd4142ca4af585bb4608cf21b4554442c840b06c8a97c044_0.webp?q=82&s=300x300&t=crop&f=webp
