index,item,price,region,like,chat,image
24,꼼데 가디건,"45,000원",대전 중구 용두동,18,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/9b5697ca1c9217e1703c3a2c82f6e21c0c274f2329c0db2e6a41c69186e245b6.jpg?q=82&s=300x300&t=crop&f=webp
25,핸드폰,"450,000원",대전 중구 대흥동,2,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a1578c1bc2a4636b58edafdf5a6f623293144504a45e31654b02e72191d761e7_0.webp?q=82&s=300x300&t=crop&f=webp
26,버버리(정품),"40,000원",대전 유성구 봉명동,9,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/3660dccc2bade6f4ba804aa7d3c6747b6aef2473f895d3e4c2662f8360e7812f_0.webp?q=82&s=300x300&t=crop&f=webp
27,이케아 선반 팝니다,"10,000원",대전 동구 가양동,6,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/938303fe549da2ad827983bffd3a30734eec17ad3708fa268ef5faf022a93494.jpg?q=82&s=300x300&t=crop&f=webp
28,자전거 싸게 팔아요,"50,000원",대전 유성구 온천2동,10,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/12b74a6bee0026a93e4ddc470f2b715005396e914b44568e82c13474f9d32f47.jpg?q=82&s=300x300&t=crop&f=webp
29,테이블 의자,"10,000원",대전 서구 둔산동,10,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cab79223c7f660f33c49bc958a6275221c2a38ced0e30f94267c6731afdc7d74_0.webp?q=82&s=300x300&t=crop&f=webp
30,과자 30g 27봉지 코스트코 스낵믹스 팔아요.,"10,000원",대전 중구 문화동,0,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a48252c757fb95f07d4425fea1973ba4d6ae6f7a0db78c675b7193993d974686_0.webp?q=82&s=300x300&t=crop&f=webp
31,아이폰 팜,"80,000원",대전 대덕구 석봉동,5,20,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a8c66698ee331d80caa1d7b9db6f1896d985cf5d6f3caa304ebe1bb256901c3f_0.webp?q=82&s=300x300&t=crop&f=webp
32,"접이식 탁자(1), 의자(2) 팝니다","10,000원",대전 중구 목동,3,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/709063bcd8b2356bd561dc80431877f8f6ecc1b245704ebdca79872d763865a4_0.webp?q=82&s=300x300&t=crop&f=webp
33,LG 미니냉장고 46L 팔아요,"65,000원",대전 서구 만년동,7,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ac06fed0c7a7c2befd1d13d7437047a819bf791e0d6c7fb789f6ab1e5c5b5d17.jpg?q=82&s=300x300&t=crop&f=webp
34,아이폰 11,"280,000원",대전 유성구 온천2동,5,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/bec023bf920dc4b82c345a7627e40a891c5d474a0ad3a73a00badcbfe0c22b08.jpg?q=82&s=300x300&t=crop&f=webp
35,베어그릭스 꾸덕메이커 (새상품),"25,000원",대전 중구 은행선화동,3,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/28e678400b70a50f2751678e8ea494486eaec0435310a978731bd23c69f231bc_0.webp?q=82&s=300x300&t=crop&f=webp
36,크록스,"20,000원",대전 유성구 원신흥동,17,16,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f664310f24363d13b9e3974f7d3a083018361c3980312355c7aef9ea5bd9ed03_0.webp?q=82&s=300x300&t=crop&f=webp
37,삼성 55인치 LED TV,"50,000원",대전 서구 탄방동,13,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/5ebc6968ca9946aa408828b81c54ddf218520323ff7c5037adbc1875dbc61ce8.jpg?q=82&s=300x300&t=crop&f=webp
38,릴선,"20,000원",대전 서구 복수동,8,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/30b3212f0df43b7fa0edaf83b224609d63b7c06a1b93a9ee740db6013906fecf_0.webp?q=82&s=300x300&t=crop&f=webp
39,옷 서랍장,"10,000원",대전 유성구 상대동,5,3,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7ff942d723cdd572ccbf7837252670a65a6c89369ff7e46de1c74f2de930a773.jpg?q=82&s=300x300&t=crop&f=webp
40,코스트코 원목 서랍장 (수납장),"30,000원",대전 서구 둔산동,33,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cad44f14e412ad2bac5fe9b3e445ec4a43c5073e860ac0883470ec161a62213d_0.webp?q=82&s=300x300&t=crop&f=webp
41,아이폰 14프로 새상품,110만원,대전 서구 탄방동,16,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8c8cb5d77803c79532f782aacb9a3968e3c420289f6e619435787edc8adad95b.jpg?q=82&s=300x300&t=crop&f=webp
42,나이키 운동화 255/260,"5,000원",대전 중구 용두동,4,1,https://dnvefa72aowie.cloudfront.net/origin/article/202307/bd62357f37170812e32d0e95e8b6f9bae9815fb637631f66446769840457eca2.jpg?q=82&s=300x300&t=crop&f=webp
43,쿠쿠 밥솥,"10,000원",대전 서구 도마1동,6,1,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cf7215596e4f7cbbebab894bd012d4da2f9944c21bfd3f590ab450f7783e988b_0.webp?q=82&s=300x300&t=crop&f=webp
44,달러팝니다,"1,234원",대전 중구 문화1동,0,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/f9ae0ce5aab2c02c4b2d3abca3c12028f713650d4281c957e8efed98057b2648.webp?q=82&s=300x300&t=crop&f=webp
45,먹태깡 팔아요,"4,000원",대전 서구 변동,1,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2d69bb03b3f40c01e32623af3f92661f12bd13afa12bae7432558e43baa7dd13.jpg?q=82&s=300x300&t=crop&f=webp
46,디디에두보 남자반지 35만원짜리 14k 로즈골드,"50,000원",대전 서구 월평3동,39,31,https://dnvefa72aowie.cloudfront.net/origin/article/202307/241ddaff3ac62d5d5ce2ece8b19f3a84f42ca6ba71f5cac7f332a5cb73c3d7f3_0.webp?q=82&s=300x300&t=crop&f=webp
47,고급 어닝,"300,000원",대전 서구 도안동,17,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a21e903c6a7a996b87ba28e0157ab776d562228fda5d2ce89a8b67dfd7ddb126.jpg?q=82&s=300x300&t=crop&f=webp
