index,item,price,region,like,chat,image
24,신일 제습기 팔아요,"50,000원",경기도 안양시 만안구 안양1동,7,23,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b3772c5f889df08e49e2e141ed3d625571d202c81222c33ed66f9e0233d07718.webp?q=82&s=300x300&t=crop&f=webp
25,김치냉장고  필요하신분,"70,000원",경북 구미시 산동읍,18,31,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4196e7cfb6d3cda220fbe45430f4a9d2ca6b89bdaab5929b60c14e63d95773e4_0.webp?q=82&s=300x300&t=crop&f=webp
26,베트남동 판매해요,"73,000원",경기도 용인시 수지구 죽전동,2,17,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e68a7c688ed67d21836ee196e8b5c30319d686763de12dae0284ff7fa5249c6a_0.webp?q=82&s=300x300&t=crop&f=webp
27,샤넬 디올 가방들 정리합니다,100원,서울 강남구 신사동,92,49,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7cb73a8ca6280634bfbb270368efe3faa5378c0ae4225acaf0cdac6d6876f602_0.webp?q=82&s=300x300&t=crop&f=webp
28,명품 다 정리합니다,999만 9999원,울산 울주군 범서읍,13,35,https://dnvefa72aowie.cloudfront.net/origin/article/202307/46a45041684d3cf2077e214d863d81bd2ee439a3ecf1adb0a3e467d0ca8485a0.jpg?q=82&s=300x300&t=crop&f=webp
29,마이크로 킥보드 맥시,"50,000원",경기도 성남시 분당구 정자동,5,20,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7882b441f98bc287c65ce3ddb9517c4fb740fe2a8594aff5011a554df34930fc.jpg?q=82&s=300x300&t=crop&f=webp
30,위닉스제습기,"130,000원",제주 제주시 연동,8,22,https://dnvefa72aowie.cloudfront.net/origin/article/202307/52fa44a65e25401d630f931d4566c1e8e3043a1d4746b1f174ec324ecbb0aab0_0.webp?q=82&s=300x300&t=crop&f=webp
31,이케아 트롤리 철제카트,"10,000원",세종시  고운동,5,15,https://dnvefa72aowie.cloudfront.net/origin/article/202307/2afb713ea54fa5a4cff868c8aa3ed4d7c3bc52ff2b92f11760330fee0cd05c42.jpg?q=82&s=300x300&t=crop&f=webp
32,크록스 새제품팝니다,"28,000원",부산 기장군 정관읍,14,39,https://dnvefa72aowie.cloudfront.net/origin/article/202307/6ce5abf631ae96117132aa396c50e47b22d7a62910a34fa9be60e4112ed983dc_0.webp?q=82&s=300x300&t=crop&f=webp
33,갤럭시워치5,"110,000원",경기도 평택시 비전동,7,17,https://dnvefa72aowie.cloudfront.net/origin/article/202307/0a704b06611369b929e060d4290876a9e5eb9702404c6a4c343bd3bc4bb5afe8_0.webp?q=82&s=300x300&t=crop&f=webp
34,성능좋은 사무실 냉장고,"30,000원",인천 서구 청라1동,20,37,https://dnvefa72aowie.cloudfront.net/origin/article/202307/e99a24a19b1b2dada59d572c3a663ffb3429d43ef560ed7c237faa88ae8e8fbb_0.webp?q=82&s=300x300&t=crop&f=webp
35,SEDEC 식탁세트판매,"300,000원",경기도 성남시 분당구 정자동,56,26,https://dnvefa72aowie.cloudfront.net/origin/article/202307/0f58c310c9f796cb9c0fa400bcb5b46cffeacf86b684bd57a5373bc2c94e227a_0.webp?q=82&s=300x300&t=crop&f=webp
36,가게 정리합니다,"1,000원",울산 울주군 범서읍,7,4,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b1419b94e9afcc8be47123ff36cc7179f97260fdf8007420efc5880e95f969d4.jpg?q=82&s=300x300&t=crop&f=webp
37,"이민 및 이사 정리 (책상, 침대, 식탁, 소파, 식기세척기, 공기청정기, 매거진랙, 티비다이, 의자 등)","100,000원",서울 동대문구 휘경제1동,33,27,https://dnvefa72aowie.cloudfront.net/origin/article/202307/dddc69ec1387b23e587937d8d50983c7fba1ca5a5d4ce4e181f04816afd6c8b8.jpg?q=82&s=300x300&t=crop&f=webp
38,묵은쌀 (내용꼭확인)예약완료입니다,1원,전남 나주시 빛가람동,3,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/ddbfefccd81e6c50b5beaa0fa0b85d5a09dc22c9f1303b1685a6107adf6f91e1_0.webp?q=82&s=300x300&t=crop&f=webp
39,스팸클래식,"5,000원",경남 양산시 동면,1,22,https://dnvefa72aowie.cloudfront.net/origin/article/202307/fb5c96d2d895f91ffaaca4712e9c876fb37baa45327085eb80279134acd8a8a4_0.webp?q=82&s=300x300&t=crop&f=webp
40,먹태깡 정가판매해요,"1,700원",울산 남구 옥동,5,18,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7a73d2ccd613172e1095f2187d74e3b2028d504695e009b1dd52cd78def30c61_0.webp?q=82&s=300x300&t=crop&f=webp
41,코렐12피스 새상품,"10,000원",경기도 화성시 남양읍,8,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/3442f14ad7322f48407b03b480b4c534bceae60e8e83480bdaab9eeda3c417ee.jpg?q=82&s=300x300&t=crop&f=webp
42,삼성65인치 티비,"100,000원",경기도 용인시 수지구 풍덕천2동,12,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/58aea308b2aa238f970fbcd58cb050ddb45115295fe5db23a3e8972a2479c4f0_0.webp?q=82&s=300x300&t=crop&f=webp
43,다이슨 선풍기,"60,000원",경남 창원시 성산구 신촌동,9,14,https://dnvefa72aowie.cloudfront.net/origin/article/202307/cb60ec310264cb7fa38a1ebb2074ca4b16caf92d4880205e4122b1fb42c531bf.jpg?q=82&s=300x300&t=crop&f=webp
44,보쉬 전동드릴,"50,000원",서울 양천구 목1동,16,12,https://dnvefa72aowie.cloudfront.net/origin/article/202307/314220b488383fcd0913d65470c9249ae9b3507b568c54aa1df2a46c1e17eed6_0.webp?q=82&s=300x300&t=crop&f=webp
45,자이언트 자전거 팝니다,"50,000원",대전 동구 성남동,9,10,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c4c99b5270c3c74ddeadeb9d6bd10ece928830a7e80ba980e21528cba356bf2f.webp?q=82&s=300x300&t=crop&f=webp
46,"메이드복, 실착 3회","15,000원",충북 청주시 청원구 율량.사천동,36,23,https://dnvefa72aowie.cloudfront.net/origin/article/202307/903dae2a87b3a88ae831b3da5bf0c28aa12a4f83386391107099c78d2353743d.jpg?q=82&s=300x300&t=crop&f=webp
47,다이슨. 드라이기,"150,000원",서울 동대문구 장안동,13,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c4a70ebe6c4587ca76d388eb6e56fe5e69af8307fb34695cef6ac461a66e97d8_0.webp?q=82&s=300x300&t=crop&f=webp
