index,item,price,region,like,chat,image
24,선풍기,10원,부산 강서구 명지2동,2,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/468020c1f1768c5d77b61859f5941fdec066ce255090482f8a3e45e4e544f6fc_0.webp?q=82&s=300x300&t=crop&f=webp
25,코오롱안전화(작업화)270mm,"10,000원",부산 부산진구 범전동,4,5,https://dnvefa72aowie.cloudfront.net/origin/article/202307/876a2ff52b655dacebc1d0f8e60a30739ae0aabca33cdc0124d6aa937893927a_0.webp?q=82&s=300x300&t=crop&f=webp
26,먹태깡 새거 정가 판매합니다,"1,700원",부산 부산진구 전포동,6,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4a54b228693b2917e8e2d8e063dc0f8205b298873ffdf6ae6b9bff33d73b5d6d_0.webp?q=82&s=300x300&t=crop&f=webp
27,테라스 파라솔+라탄테이블+의자,"130,000원",부산 강서구 명지1동,19,2,https://dnvefa72aowie.cloudfront.net/origin/article/202307/a223c69f39b04d6a0c16330905aedc110d3d4a8c4059af996bb6fe7c04d26096.jpg?q=82&s=300x300&t=crop&f=webp
28,아이폰 14 프로 256 퍼플 팔아요,120만원,부산 부산진구 부전동,4,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/7fdcc9fb8fed7900dde5364af3ab674463829d9e94b6ba3c4be5166352196306.jpg?q=82&s=300x300&t=crop&f=webp
29,원도우냉장고,"100,000원",부산 연제구 거제동,5,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/8c01f93d82247dfd24ec007fa7bfc74e6d84f119a0169f1f0edac383c6c52f6f_0.webp?q=82&s=300x300&t=crop&f=webp
30,이동식 에어컨 10평형(이파람),"70,000원",부산 금정구 구서제1동,7,11,https://dnvefa72aowie.cloudfront.net/origin/article/202307/c14695cb38090c94dba572b32b347d0d88a02b12579112067855c6671bd3d972_0.webp?q=82&s=300x300&t=crop&f=webp
31,베트남  동 팝니다.,"185,000원",부산 해운대구 우제2동,3,9,https://dnvefa72aowie.cloudfront.net/origin/article/202307/4a1c110fa257e3babbc7f9e5d21b34c4eb8c8328c263b845f4b961f581fc55ca_0.webp?q=82&s=300x300&t=crop&f=webp
32,쌀 팔아요,"6,000원",부산 부산진구 연지동,1,7,https://dnvefa72aowie.cloudfront.net/origin/article/202307/78964d23a541437b451db0464e8db0bd894f274d3359ec5686c19003bf8b9b03.jpg?q=82&s=300x300&t=crop&f=webp
33,캐리어 에어컨,"200,000원",부산 강서구 명지동,3,6,https://dnvefa72aowie.cloudfront.net/origin/article/202307/0266683be065432d995e75b442ba4b7977028fb96d3369e6b1a26eff72d78b4d_0.webp?q=82&s=300x300&t=crop&f=webp
34,5단선반,"5,000원",부산 동구 초량동,11,13,https://dnvefa72aowie.cloudfront.net/origin/article/202307/b47c0fc60f276d92f1668c7e0bcd9a18054906cb63d19b622aec1f35db2bbed2_1.webp?q=82&s=300x300&t=crop&f=webp
